;Nazwisko ImiÍ ;Wiek ;ZawÛd/wykszta≥cenie ;Oznaczenie kandydata 
Grabiszyn - Grabiszynek;SZUMIELEWICZ MARTA  ;38;ORTODONTA ;S£UCHAMY DZIA£AMY MIESZKANKI GRABISZYNKA 
Grabiszyn - Grabiszynek;WERESZKO WOJCIECH MACIEJ ;22;STUDENT ; 
Grabiszyn - Grabiszynek;W”JCIK WALDEMAR KRZYSZTOF ;61;WYØSZE ;LEPSZY GRABISZYN(EK)-LEPSZY WROC£AW! PO 
Huby;LIPI—SKI PIOTR KRZYSZTOF ;24;STUDENT ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
Huby;PIEKARUK CZES£AW  ;51;FORMIERZ ;NASZE HUBY 
Huby;PRZYBYSZEWSKI PIOTR IRENEUSZ ;51;WYØSZE ;PRZYJAZNE OSIEDLE - BEZPARTYJNY WROC£AW 
Huby;SOCHA JAN  ;62;WYØSZE ;NASZE HUBY 
Huby;STAWOWCZYK MICHA£ OSKAR ;25;åREDNIE ;NASZE HUBY 
Huby;SZAFRA—SKA SYLWIA ANNA ;44;åREDNIE ;NASZE HUBY 
Huby;WAGNER ROBERT ALFRED ;41;SPECJALISTA DS. SPRZEDAØY ; 
Huby;WASILEWSKA JADWIGA IWONA ;54;TECHNIK ADMINISTRACJI ; 
Huby;W£ODARSKA URSZULA  ;61;WYØSZE ;NASZE HUBY 
Huby;WYSOCZA—SKI STANIS£AW  ;32;åREDNIE ;PRZYJAZNE OSIEDLE-BEZPARTYJNY WROC£AW 
Huby;ZALEWSKI KRZYSZTOF  ;41;WYØSZE ;NASZE HUBY 
Huby;HELI—SKA MARIA JOLANTA ;56;WYØSZE ;NASZE HUBY 
Huby;KUBERSKA HALINA TERESA ;67;EMERYTKA ;NASZE HUBY 
Huby;KULIG KRZYSZTOF PIOTR ;32;EKONOMISTA ; 
Huby;MIEDZI—SKA EWA MARIA ;66;WYØSZE ;NASZE HUBY 
Huby;SZEMERDA ILONA MONIKA ;43;T£UMACZ PRZYSI G£Y ; 
Huby;SZOPA ANDRZEJ  ;54;WYØSZE ;NASZE HUBY 
Huby;W£ODARCZYK MONIKA  ;43;WYØSZE ; 
Huby;BOROWSKI MACIEJ  ;49;WYØSZE ;NASZE HUBY 
Huby;CIENIAWSKI MATEUSZ ROBERT ;27;WYØSZE ; 
Huby;MADEJ BARBARA  ;61;åREDNIE ;NASZE HUBY 
Huby;MILCZANOWSKA ANGELIKA  ;27;NAUCZYCIEL ; 
Huby;NOSOWICZ JAN  ;78;WYØSZE ;NASZE HUBY 
Huby;SIKORA PATRYCJA MARIA ;22;WYØSZE ;NASZE HUBY 
Huby;SKWARKA WANDA FRANCISZKA ;65;EMERYT ; 
Jagodno;ADKONIS SEBASTIAN PIOTR ;40;MAGISTER INØYNIER KSZTA£TOWANIA TEREN”W ZIELENI ; 
Jagodno;BENSARI AGATA ELØBIETA ;48;SPECJALISTA DS. SPRZEDAØY ; 
Jagodno;CELI—SKA SYLWIA MARIOLA ;41;EKONOMISTA ; 
Jagodno;DAROCH PAWE£ JANUSZ ;41;AUDYTOR ; 
Jagodno;FRANKOWSKA AGNIESZKA  ;44;TECHNIK ODZIEØOWY ; 
Jagodno;GAW SKA-D•BROWSKA ANNA JADWIGA ;52;MANAGER ; 
Jagodno;IWANIUK MARCIN WOJCIECH ;36;INFORMATYK/PROGRAMISTA ; 
Jagodno;KARLI—SKA AGNIESZKA KAMILA ;41;PODINSPEKTOR DS. LEåNICTWA I OCHRONY PRZYRODY ;BEZPARTYJNY WROC£AW 
Jagodno;K PA GRAØYNA TERESA ;57;EKONOMISTKA ; 
Jagodno;KLISOWSKA IZABELA DELFINA ;43;PRAWNIK ; 
Jagodno;KONIECZNA MA£GORZATA  ;46;PRAWNIK ; 
Jagodno;KOåCI—SKI £UKASZ  ;32;PRAWNIK ; 
Jagodno;KOWALSKA MARIA KRYSTYNA ;62;TECHNIK EKONOMISTA ; 
Jagodno;£UKASZEWICZ-S£AWI—SKA ANIELA  ;75;PRAWNIK ; 
Jagodno;OSSOWSKI GRZEGORZ  ;40;DZIENNIKARZ ; 
Jagodno;PETRYSZYN ARKADIUSZ ADAM ;31;PRAWNIK/KONSULTANT IT ; 
Jagodno;WATEMBORSKA MAGDALENA TERESA ;35;WYØSZE ; 
Jagodno;WIåNIEWSKA JADWIGA BOØENA ;48;ZARZ•DCA NIERUCHOMOåCI ; 
Jagodno;ZDRZA£KA BARTOSZ JAROMIR ;31;MAGISTER ADMINISTRACJI ; 
Jagodno;ØAK TOMASZ STANIS£AW ;38;MAGISTER INØYNIER BUDOWNICTWA ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;BARA—SKI JAROS£AW ANDRZEJ ;49;PRZEDSI BIORCA ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;D•BROWSKA ZOFIA  ;69;WYØSZE ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;DRELICHOWSKI W£ADYS£AW MARIAN ;73;TECHNIK BUDOWLANY ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;IZDEBSKI MACIEJ RYSZARD ;50;INFORMATYK ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;JURCZYK DANUTA  ;51;PRZEDSZKOLANKA ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;KASJAN WIES£AW ZBIGNIEW ;55;STRAØAK ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;K DZIOR JERZY ADAM ;60;RENCISTA ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;MAJECKA BEATA KATARZYNA ;55;TECHNIK EKONOMISTA ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;MAJECKI GRZEGORZ KAZIMIERZ ;33;åREDNIE ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;MALICKA AGNIESZKA  ;42;PIEKARZ ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;OWCZAREK TADEUSZ JERZY ;64;ENERGETYK ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;POLAK AGNIESZKA SYLWIA ;43;PRZEDSI BIORCA ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;POPECKI JACEK JERZY ;69;åREDNIE ROLNICZE ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;RAK ZOFIA ELØBIETA ;67;EMERYT ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;SILINGIEWICZ JOLANTA MA£GORZATA ;56;EKONOMISTA ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;STRZELECKI S£AWOMIR ROMAN ;50;URZ DNIK ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;ØE£UBOWSKI DARIUSZ ADAM ;52;PRZEDSI BIORCA ; 
Jerzmanowo - Jarno≥tÛw - Strachowice - Osiniec;ØYGAD£O ALFRED  ;65;EMERYT ; 
Kar≥owice - RÛøanka;BORZYMOWSKA BARBARA ANNA ;58;PSYCHOLOG;ZIELONY WROC£AW 
Kar≥owice - RÛøanka;DO£ GA PIOTR TOMASZ ;26;KONSULTANT SYSTEM”W ERP ;BEZPARTYJNY WROC£AW - KAR£OWICE 
Kar≥owice - RÛøanka;DZIEDZIC MAREK MIECZYS£AW ;34;INØYNIER DèWI KU ;BEZPARTYJNY WROC£AW - KAR£OWICE 
Kar≥owice - RÛøanka;LIPI—SKI MARIUSZ  ;38;INØYNIER MECHANIK ; 
Kar≥owice - RÛøanka;MAZELA EWA  ;59;MAGISTER FILOZOFII ; 
Kar≥owice - RÛøanka;POKORNY BARBARA TERESA ;50;DYREKTOR ; 
Kar≥owice - RÛøanka;SALAMON ANNA GRAØYNA ;46;PSYCHOLOG ;ZIELONY WROC£AW 
Kar≥owice - RÛøanka;SOJA JOANNA DARIA ;29;INTERNACJOLOG ; 
Kar≥owice - RÛøanka;TARNOWSKA JANINA  ;55;LEåNIK ; 
Kar≥owice - RÛøanka;URBANIAK MAGDALENA ANNA ;31;OPTOMETRYSTKA ; 
Kar≥owice - RÛøanka;W•SOWSKI MAREK MACIEJ ;58;INØYNIER TRANSPORTU ;ZIELONY WROC£AW 
Kar≥owice - RÛøanka;JARMUSZ MA£GORZATA  ;21;STUDENT ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;KRUPA RADOS£AW  ;21;STUDENT ; 
Kar≥owice - RÛøanka;LIS IRENA JULIA ;61;åREDNIE ; 
Kar≥owice - RÛøanka;LURANIEC MARCIN ROBERT ;27;DZIENNIKARZ ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;MAåLANKA GRZEGORZ SEBASTIAN ;37;URZ DNIK ;KAR£OWICE - BEZPARTYJNY WROC£AW 
Kar≥owice - RÛøanka;PIE—KOWSKI STANIS£AW LUCJAN ;21;STUDENT ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;SUCHOØEBRSKA EWA  ;42;MAGISTER ZARZ•DZANIA I PRZEDSI BIORCZOåCI ;KAR£OWICE - BEZPARTYJNY WROC£AW 
Kar≥owice - RÛøanka;DZIOBA DOROTA HELENA ;42;MAGISTER OCHRONY åRODOWISKA ;KAR£OWICE - BEZPARTYJNY WROC£AW 
Kar≥owice - RÛøanka;KLIMKOWSKA KATARZYNA HELENA ;26;MENEDØER ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;KOREDCZUK WOJCIECH J”ZEF ;26;WYØSZE ; 
Kar≥owice - RÛøanka;LUZAR DOROTA IRENA ;23;STUDENT ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;MARCINKOWSKA AGNIESZKA  ;44;MAGISTER INØYNIER OCHRONY åRODOWISKA ;KAR£OWICE - BEZPARTYJNY WROC£AW 
Kar≥owice - RÛøanka;NIEMCZYK JAN  ;35;MAGISTER INØYNIER ARCHITEKT ;KAR£OWICE - BEZPARTYJNY WROC£AW 
Kar≥owice - RÛøanka;OBUCHOWICZ-SAWICZ ALEKSANDRA KINGA ;35;ARCHIWISTKA ;KAR£OWICE - BEZPARTYJNY WROC£AW 
Kar≥owice - RÛøanka;PUåLECKA HANNA  ;28;OPTYK ; 
Kar≥owice - RÛøanka;åWIERCZY—SKI MATEUSZ  ;23;STUDENT ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;ZAPOROWSKI MICHA£ KAROL ;53;RZEMIEåLNIK ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;KACZKOWSKA MAGDALENA  ;39;PRAWNIK ;NASZE OSIEDLE 
Kar≥owice - RÛøanka;KOZ£OWSKI HENRYK  ;72;WYØSZE PRAWNICZE ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;KRZYKOWSKI MARCIN BOGDAN ;44;POLITOLOG ;NASZE OSIEDLE 
Kar≥owice - RÛøanka;£UKOWSKI JAN  ;70;EMERYT ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;MALEC AGNIESZKA  ;41;DZIENNIKARZ ;NASZE OSIEDLE 
Kar≥owice - RÛøanka;MILEWSKI EDWARD  ;74;EMERYT ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;POROWSKI PIOTR JAN ;60;åREDNIE ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;RAWSKA DAGMARA ANNA ;41;PRAWNIK ; 
Kar≥owice - RÛøanka;SKOWRON MARIOLA  ;53;STUDIUM EKONOMICZNE ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;WOJTASIK WOJCIECH WINCENTY ;48;MECHANIK ;NASZE OSIEDLE
Kar≥owice - RÛøanka;FIGASZEWSKA KATARZYNA AGNIESZKA ;34;PRAWNIK ; 
Kar≥owice - RÛøanka;GAJDECKI PAWE£ GRZEGORZ ;32;KIEROWNIK MAGAZYNU I SERWISU;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;J”ZEFIAK JAKUB ANDRZEJ ;18;UCZE— ;"""NASZE OSIEDLE"" "
Kar≥owice - RÛøanka;KACZKOWSKI £UKASZ HENRYK ;39;PRAWNIK ;NASZE OSIEDLE 
Kar≥owice - RÛøanka;KLAMKA ARTUR JAN ;53;WYØSZE ; 
Kar≥owice - RÛøanka;£ACINA IRENA TERESA ;66;KUCHARZ ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;OLSZEWSKI WOJCIECH ZBIGNIEW ;44;POLITOLOG ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;SOBOCI—SKI JAN  ;68;WYØSZE DOKTORANCKIE ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;ZABOR ADAM  ;22;EKONOMISTA ;NASZE OSIEDLE KAR£OWICE-R”ØANKA 
Kar≥owice - RÛøanka;ZANKOWSKI PRZEMYS£AW  ;44;EKONOMISTA ;"""NASZE OSIEDLE"" "
Klecina;CZ•STKIEWICZ EWA LIDIA ;59;KSI GOWA ;DOBRO WSP”LNE KLECINA 
Klecina;DRAS-CHMIELEWSKA AGATA JUSTYNA ;36;WYØSZE ;NA KLECINIE 
Klecina;DRZEWIECKA ZOFIA  ;69;KSI GOWA ;DOBRO WSP”LNE KLECINA 
Klecina;GAWI—SKI IRENEUSZ ZYGMUNT ;41;åREDNIE ;NA KLECINIE 
Klecina;HAUZER MONIKA MA£GORZATA ;43;WYØSZE ;NA KLECINIE 
Klecina;HELIASZ KATARZYNA AGNIESZKA ;42;åREDNIE ;NA KLECINIE 
Klecina;HUZARSKA ANNA  ;65;KELNER ;DOBRO WSP”LNE KLECINA 
Klecina;JEDYNAK EUGENIA  ;67;TECHNIK EKONOMISTA ;DOBRO WSP”LNE KLECINA 
Klecina;KICZAK LILIANA  ;45;WYØSZE ;NA KLECINIE 
Klecina;KOLPENICKA RENATA ANNA ;45;WYØSZE ;NA KLECINIE 
Klecina;KRUKOWSKI MAREK  ;70;INØYNIER G”RNIK ;DOBRO WSP”LNE KLECINA 
Klecina;KUREK AGNIESZKA  ;78;PIEL GNIARKA ;DOBRO WSP”LNE KLECINA 
Klecina;LAUNER-KUBIK JOANNA MA£GORZATA ;42;WYØSZE ;NA KLECINIE 
Klecina;LE—CZYK MACIEJ ADAM ;22;åREDNIE ;NA KLECINIE 
Klecina;MACIEJEWSKI HENRYK J”ZEF ;50;WYØSZE ;NA KLECINIE 
Klecina;MAGNOWSKI WINCENTY  ;77;INØYNIER INSTALACJI SANITARNYCH ;DOBRO WSP”LNE KLECINA 
Klecina;MICHALEWSKI ZBIGNIEW  ;64;ROLNIK ;DOBRO WSP”LNE KLECINA 
Klecina;PELC WIKTOR MIKO£AJ ;44;PRACOWNIK BIUROWY ;DOBRO WSP”LNE KLECINA 
Klecina;PIECHOTA JUSTYNA MARTA ;59;EKONOMISTA ;DOBRO WSP”LNE KLECINA 
Klecina;SAWICKA KRYSTYNA MARIA ;19;UCZE— ;DOBRO WSP”LNE KLECINA 
Klecina;SORSA EWA GRAØYNA ;64;HANDLOWIEC ;DOBRO WSP”LNE KLECINA 
Klecina;STRYJAK RAFA£ MARIAN ;47;EKONOMISTA ;DOBRO WSP”LNE KLECINA 
Klecina;TYLMAN KRYSTYNA  ;60;åREDNIE ;NA KLECINIE 
Klecina;WAJDA BARBARA KINGA ;50;WYØSZE ;NA KLECINIE 
Klecina;WAJDA GRZEGORZ JAN  ;54;WYØSZE ;NA KLECINIE 
Klecina;WALKOWIAK RAFA£ MARCIN ;34;PROJEKTANT DR”G ;DOBRO WSP”LNE KLECINA 
Klecina;ZAPART REGINA EWA ;58;PRACOWNIK BIUROWY ;DOBRO WSP”LNE KLECINA 
KleczkÛw;CHABIER MARCIN MARIUSZ ;33;POLITOLOG, PRZEDSI BIORCA ;BEZPARTYJNY WROC£AW 
KleczkÛw;DYDACKI RYSZARD J”ZEF ;50;åREDNIE ; 
KleczkÛw;IBRON EWA  ;62;åREDNIE ; 
KleczkÛw;IBRON KATARZYNA  ;39;WYØSZE ; 
KleczkÛw;KOSO— URSZULA  ;66;TECHNIK ; 
KleczkÛw;MAKUL JOANNA  ;44;SALOWA ; 
KleczkÛw;MIDEK PIOTR  ;49;TAPICER ; 
KleczkÛw;MORAWSKA MARIA IWONA ;61;åREDNIE ; 
KleczkÛw;MR”Z MA£GORZATA BOØENA ;64;åREDNIE ; 
KleczkÛw;OLEJNICZAK ELØBIETA MARIA ;63;KSI GOWA ; 
KleczkÛw;OLEJNICZAK RAFA£ KRZYSZTOF ;24;WYØSZE ; 
KleczkÛw;PIKUS ZBIGNIEW ANTONI ;64;åREDNIE ; 
KleczkÛw;PIOTROWICZ PAWE£ WOJCIECH ;39;åREDNIE ; 
KleczkÛw;RODZIK AGNIESZKA KAROLINA ;19;UCZENNICA ; 
KleczkÛw;RODZIK BARBARA  ;46;WYØSZE ; 
KleczkÛw;RODZIK GRZEGORZ JANUSZ ;22;åREDNIE ; 
KleczkÛw;ROZWANDOWICZ IRENA MARIA ;69;EMERYT ; 
KleczkÛw;SZCZYTKO REMIGIUSZ  ;25;POLITOLOG ;#LEPSZY KLECZK”W 
Kowale;DOBRUCKI RADOS£AW TOMASZ ;39; ;KOWALE+ 
Kowale;FURMA—SKA ELØBIETA  ;62;åREDNIE TECHNICZNE ;KOWALE+ 
Kowale;GARBACZ MARTA HELENA ;37;WYØSZE ;KOWALE+ 
Kowale;JAK”B MAREK W£ADYS£AW ;55;INØYNIER BUDOWNICTWA ;KOWALE+ 
Kowale;KAZIMIEROWICZ ARTUR STANIS£AW ;49;TECHNIK MECHANIZACJI ROLNICTWA ;KOWALE+ 
Kowale;LEWANDOWSKA MARIA ANNA ;64;LICENCJAT ZARZ•DZANIA ;KOWLAE+ 
Kowale;MATUSZAK KATARZYNA ELØBIETA ;19;UCZENNICA ;KOWALE+ 
Kowale;MATUSZAK MACIEJ LESZEK ;22;STUDENT ;KOWALE+ 
Kowale;MICKIEWICZ MARZENA EWA ;56;PRACOWNIK SAMORZ•DOWY ;KOWALE+ 
Kowale;MIERZEJEWSKI MICHA£ MARCIN ;39;INØYNIER OCHRONY åRODOWISKA ;KOWALE+ 
Kowale;PIETRU—KO MACIEJ PIOTR ;23;STUDENT ;WROC£AWSKIE FORUM SAMORZ•DOWE 
Kowale;ROSOWSKI ANDRZEJ  ;42;TECHNIK ELEKTRONIK ;KOWALE+ 
Kowale;TROJAK RENATA ELØBIETA ;60;INØYNIER MECHANIK ;KOWALE+ 
Kowale;UCINEK SEBASTIAN CEZARY ;45;INØYNIER MECHANIK ;KOWALE+ 
Kowale;WIERZBO£OWSKA WANDA  ;65;EKONOMISTA-TECHNIK ;KOWALE+ 
Kowale;W£ODARSKI ARKADIUSZ  ;39;URZ DNIK ;KOWALE+ 
Kowale;WOLAK MACIEJ ALEKSANDER ;24;STUDENT ;KOWALE+ 
Kowale;WYPART AGNIESZKA BARBARA ;40;SPECJALISTA ASP ;KOWALE+ 
Kowale;ØUK MAREK W£ODZIMIERZ ;57;MANAGER ;KOWALE+ 
Krzyki - Partynice;BACHMI—SKA ALICJA DOMINIKA ;34;MGR INØ. ARCHITEKT ; 
Krzyki - Partynice;BIGOS MARIUSZ TOMASZ ;52;INØYNIER MECHANIK ;NASZE OSIEDLE KRZYKI-PARTYNICE 
Krzyki - Partynice;BUTWICKI ROBERT MIROS£AW ;52;W£ASNA DZIA£ALNOå∆ ;MOJE KRZYKI- PARTYNICE 
Krzyki - Partynice;CHUDY STANIS£AW GRZEGORZ ;55;ARCHITEKT KRAJOBRAZU ;NASZE OSIEDLE KRZYKI-PARTYNICE 
Krzyki - Partynice;DOMAGA£A ADAM S£AWOMIR ;39;INFORMATYK ;NASZE OSIEDLE KRZYKI-PARTYNICE 
Krzyki - Partynice;DOMASZEWICZ JADWIGA JOLANTA ;63;WYØSZE - MGR SZTUKI ;NASZE OSIEDLE KRZYKI-PARTYNICE 
Krzyki - Partynice;FURTAK-POBROTYN JOANNA MARTA ;45;STOMATOLOG ; 
Krzyki - Partynice;JARACZ MARIA  ;75;HANDLOWIEC ;NASZE OSIEDLE KRZYKI-PARTYNICE 
Krzyki - Partynice;JOD£OWSKA-ØAK BARBARA  ;56;WYØSZE ; 
Krzyki - Partynice;SIEDL CZKA ANNA MA£GORZATA ;49;åREDNIE ;MOJE KRZYKI-PARTYNICE 
Krzyki - Partynice;SZ£APKA KRZYSZTOF ZBIGNIEW ;23;WYØSZE ; 
Krzyki - Partynice;WOèNY BARTOSZ SERGIUSZ ;26;SPECJALISTA UBEZPIECZENIOWO-FINANSOWY ; 
Krzyki - Partynice;BURAK IZABELA KATARZYNA ;28;KSI GOWA ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;CEDRO MATEUSZ JACEK ;22;TECHNIK INFORMATYK ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;CHUDZICKA MONIKA  ;32;KSI GOWA ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;DOJLIDO BARBARA KRYSTYNA ;67;EKONOMISTA ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;DUDEK DANUTA  ;70;EKONOMISTA ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;FERENC ANTONI  ;70;TECHNIK MECHANIK ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;G SIAK-PI•TKOWSKA KRYSTYNA HALINA ;66;NAUCZYCIEL ;NASZE OSIEDLE KRZYKI-PARTYNICE
Krzyki - Partynice;GRUCA PRZEMYS£AW WITOLD ;27;NAUCZYCIEL ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;INOROWICZ DANIELA  ;65;ADMINISTRATYWISTKA ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;KANIASTY EUGENIUSZ MAREK ;69;ENERGETYK ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;KWIECIE— MIECZYS£AW  ;74;MECHANIK ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;MATECKI IWO KAROL ;35;WYØSZE ; 
Krzyki - Partynice;MICHALSKA ALICJA  ;72;INØYNIER URZ•DZE— SANITARNYCH ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;OLEJNIK BEATA JOANNA ;27;PRAWNIK ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;OP£OCKA URSZULA  ;54;DYREKTOR SZKO£Y ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;PI•TKOWSKI WOJCIECH JAKUB ;36;INFORMATYK ;
Krzyki - Partynice;PISZEL ANDRZEJ JUSTYN ;68;INFORMATYK ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;SUPERSON-WINKOWSKA AGNIESZKA ZOFIA ;34;RADCA PRAWNY ; 
Krzyki - Partynice;SYCZ TERESA  ;56;MENADØER ; 
Krzyki - Partynice;SZCZEPARA £UKASZ  ;32;SPECJALISTA DS. PUBLIC RELATIONS ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;SZOSLER KAZIMIERZ MARIAN ;80;ELEKTRYK ;KOMITET WYBORCZY ÑPRZYJAZNE OSIEDLAî 
Krzyki - Partynice;URBA—SKI FLORIAN JOHANNES ;36;WYØSZE ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;WINKOWSKI MARCIN  ;38;ARCHITEKT ; 
Krzyki - Partynice;WOJTERA MARCIN  ;23;STUDENT ;NASZE OSIEDLE KRZYKI-PARTYNICE
Krzyki - Partynice;WOJTYCZKA AGNIESZKA  ;32;FIZJOTERAPEUTA ;KOMITET POPARCIA PRZEMYS£AWA GRUCY 
Krzyki - Partynice;ØAK MARIAN  ;70;EMERYT ;
KsiÍøe;BRY£KA S£AWOMIR  ;31;WYØSZE ; 
KsiÍøe;BRY£KA TERESA MARIA ;60;RENCISTKA ; 
KsiÍøe;CHOINKA BARBARA MA£GORZATA ;39;WYØSZE ; 
KsiÍøe;DEMK”W KRZYSZTOF  ;51;MECHANIK SAMOCHODOWY ; 
KsiÍøe;FIGIEL FRANCISZEK JERZY ;33;WYØSZE ; 
KsiÍøe;FORTUNA MARZENA  ;43;KRAWCOWA ; 
KsiÍøe;JOD£OWSKI DARIUSZ JAN ;55;åREDNIE ; 
KsiÍøe;JURASZ WIES£AW EDWARD ;59;EKONOMISTA ; 
KsiÍøe;KLISZCZAK JACEK ADAM ;64;åREDNIE ; 
KsiÍøe;K£ODNICKI WALDEMAR JACEK ;66;WYØSZE ; 
KsiÍøe;KMIE∆ ARKADIUSZ JULIAN ;32;DORADCA TECHNICZNY ; 
KsiÍøe;KRAWC”W MAREK  ;45;WYØSZE ; 
KsiÍøe;KUCZYKOWSKI RAFA£ JAN ;36;WYØSZE ; 
KsiÍøe;£ABUDA IRENEUSZ £UKASZ ;66;INØYNIER G”RNIK ; 
KsiÍøe;M•CARZ DARIUSZ  ;28;MENEDØER KULTURY ; 
KsiÍøe;R KAWIK ROBERT MARIAN ;51;åREDNIE ; 
KsiÍøe;STUDNIARCZYK WITOLD JAN ;55;TRENER SPADOCHRONOWY ; 
KsiÍøe;TRZCI—SKA EWA BARBARA ;60;EMERYTKA ; 
KsiÍøe;ZDANOWICZ ZOFIA ANTONINA ;56;åREDNIE ; 
Kuüniki;BISKUP WOJCIECH BOGDAN ;37;WYØSZE ;NASZE-KUèNIKI 
Kuüniki;DUCZEMI—SKI DARIUSZ  ;40;MECHANIK SAMOCHODOWY ;NASZE-KUèNIKI 
Kuüniki;JAKUBOWSKA STANIS£AWA  ;63;EMERYTKA ;NASZE-KUèNIKI 
Kuüniki;NOWAKOWSKA PATRYCJA EWA ;38;PEDAGOG ;KUèNIKI WROC£AW 
Kuüniki;PERS MICHA£ TOMASZ ;32;PRAWNIK ; 
Kuüniki;RACHALEWSKA £UCJA  ;70;EMERTYKA ;NASZE-KUèNIKI 
Kuüniki;SOBCZY—SKA-BARON RENATA  ;64;EMERYTKA ;NASZE-KUèNIKI 
Kuüniki;BOØEK DOROTA  ;56;TECHNIK ADMINISTRACJI ;NASZE KUèNIKI 
Kuüniki;DZIEKAN WALDEMAR  ;42;åREDNIE ;NASZE KUèNIKI 
Kuüniki;GARBICZ ADAM  ;44;åREDNIE TECHNICZNE ;NASZE KUèNIKI 
Kuüniki;GROCHOLSKI STANIS£AW  ;69;EMERYT ;NASZE KUèNIKI 
Kuüniki;HABA HENRYK  ;74;EMERYT ;NASZE KUèNIKI 
Kuüniki;J DRYCHA MARIA  ;78;EMERYTKA ;NASZE KUèNIKI 
Kuüniki;POTACZEK DANUTA  ;66;EMERYTKA ;NASZE KUèNIKI 
Kuüniki;ST PIE— ELØBIETA  ;67;EMERYTKA ;NASZE KUèNIKI 
Kuüniki;SUTKOWSKI ZYGMUNT  ;81;EMERYT ;NASZE KUèNIKI 
Kuüniki;W”JCIK BOØENA  ;61;TECHNIK BUDOWLANY ;NASZE KUèNIKI 
